time,open,close,high,low,volume,turnover
1770926400,0.1064,0.1063,0.107,0.106,104020.05,11077.979635
1770930000,0.1063,0.1068,0.1078,0.1063,302929.12,32338.747137
1770933600,0.1069,0.1072,0.1072,0.1059,25253.37,2688.401467
1770937200,0.1074,0.1067,0.108,0.1067,400182.83,43034.564127
1770940800,0.1065,0.1049,0.1069,0.1045,404970.85,42949.332654
1770944400,0.1049,0.1049,0.1057,0.1048,120180.91,12659.146187
1770948000,0.105,0.1043,0.1052,0.1041,72000.43,7522.312051
1770951600,0.1043,0.1039,0.1043,0.103,338962.41,34996.665513
1770955200,0.1038,0.1025,0.1039,0.1019,263229.44,26988.861839
1770958800,0.1023,0.1021,0.1032,0.1019,64480.22,6627.26196
1770962400,0.1022,0.103,0.103,0.1022,119564.86,12245.680985
1770966000,0.103,0.1017,0.1032,0.1017,152047.65,15675.931227
1770969600,0.1017,0.102,0.1022,0.0999,1030047.19,103968.805699
1770973200,0.102,0.1024,0.1026,0.1014,202040.38,20570.051912
1770976800,0.1024,0.1038,0.1042,0.1024,149392.8,15458.152296
1770980400,0.1037,0.102,0.1038,0.1018,93106.14,9569.890151
1770984000,0.102,0.1016,0.102,0.1011,37068.78,3765.016426
1770987600,0.1016,0.1021,0.1029,0.1013,143561.72,14697.447398
1770991200,0.1022,0.103,0.1038,0.1017,298962.47,30774.929059
1770994800,0.1033,0.105,0.1054,0.1028,269491.61,28067.823668
1770998400,0.105,0.1062,0.1072,0.105,136456.75,14536.174342
1771002000,0.1064,0.1065,0.1075,0.1052,335492.58,35852.683641
1771005600,0.1066,0.1055,0.1069,0.1054,428466.37,45456.930601
1771009200,0.1057,0.1067,0.1068,0.1057,158150.37,16805.335345
1771012800,0.1061,0.1049,0.1061,0.1047,190817.95,20067.281562
1771016400,0.105,0.1049,0.1056,0.1047,35053.77,3687.067957
1771020000,0.105,0.1045,0.105,0.1044,28515.55,2984.165368
1771023600,0.1043,0.1044,0.1047,0.1039,102537.43,10678.378754
1771027200,0.1045,0.1049,0.1057,0.1034,603772.91,63236.802474
1771030800,0.1048,0.1045,0.105,0.1045,70088.31,7339.049512
1771034400,0.1045,0.1043,0.1045,0.1041,31360.6,3272.775397
1771038000,0.1042,0.1045,0.1048,0.1039,128041.44,13334.617449
1771041600,0.1046,0.1035,0.1049,0.1033,219780.34,22850.350052
1771045200,0.1034,0.1033,0.1037,0.1026,39857.6,4114.787016
1771048800,0.1035,0.1032,0.1035,0.1029,16483.24,1701.594698
1771052400,0.1036,0.1037,0.104,0.1034,48043.87,4981.526334
1771056000,0.1037,0.1042,0.1044,0.1037,130717.97,13603.60003
1771059600,0.1043,0.1045,0.1048,0.1042,459109.66,48024.46666
1771063200,0.1042,0.1043,0.1044,0.1038,169568.95,17653.658725
1771066800,0.1043,0.1063,0.1064,0.1043,257684.37,27138.074393
1771070400,0.1064,0.1048,0.1064,0.1046,183712.59,19346.59661
1771074000,0.1048,0.1045,0.1051,0.1041,113587.47,11880.89291
1771077600,0.1046,0.1055,0.1057,0.1044,76485.01,8037.392581
1771081200,0.1055,0.1055,0.1059,0.1053,49552.42,5231.410675
1771084800,0.1055,0.1092,0.1095,0.1054,422750.73,45520.874063
1771088400,0.1091,0.1087,0.1098,0.1082,394151.05,42914.683565
1771092000,0.1082,0.1092,0.1092,0.1081,77895.65,8472.194818
1771095600,0.1092,0.1102,0.1104,0.1091,194890.99,21391.46838
1771099200,0.1103,0.1075,0.1112,0.107,969839.32,105548.256105
1771102800,0.1077,0.1074,0.1082,0.1064,129982.39,13970.400635
1771106400,0.1074,0.1081,0.1082,0.1073,329421.25,35424.779692
1771110000,0.1075,0.1076,0.1079,0.1066,111412.59,11940.910422
1771113600,0.1077,0.1076,0.1089,0.107,304241.62,32794.386289
1771117200,0.1076,0.1075,0.1087,0.1062,210669.41,22546.319644
1771120800,0.1075,0.1069,0.108,0.1068,148563.84,15948.558851
1771124400,0.1071,0.107,0.1076,0.1055,261643.46,27908.507123
1771128000,0.1075,0.1076,0.1087,0.1067,288728.12,31158.694937
1771131600,0.1077,0.108,0.1083,0.1076,155272.72,16771.1251
1771135200,0.108,0.1087,0.1087,0.1079,159514.43,17297.802409
1771138800,0.1085,0.1089,0.1094,0.1083,196081.37,21332.053047
1771142400,0.1088,0.1068,0.1091,0.106,411372.07,44086.614576
1771146000,0.1068,0.1069,0.1074,0.1064,185927.52,19862.922613
1771149600,0.1071,0.1063,0.1072,0.1054,363537.43,38512.795718
1771153200,0.1067,0.106,0.1067,0.1056,53597.04,5682.73808
1771156800,0.106,0.1027,0.106,0.1026,486207.8,50729.559801
1771160400,0.1029,0.1021,0.1038,0.1019,361589.19,37194.044299
1771164000,0.102,0.1029,0.1031,0.102,100148.29,10260.933576
1771167600,0.1029,0.1026,0.103,0.1023,91625.88,9392.339962
1771171200,0.1026,0.1022,0.1026,0.1018,71959.1,7351.512428
1771174800,0.1022,0.1001,0.1022,0.0994,363779.73,36435.482882
1771178400,0.0996,0.1,0.1003,0.0995,259151.89,25892.309771
1771182000,0.1,0.1007,0.1055,0.0996,1748336.3,179616.126942
1771185600,0.1005,0.1004,0.1006,0.1001,111522.26,11186.185177
1771189200,0.1007,0.1016,0.1017,0.1006,64002.94,6472.772891
1771192800,0.1015,0.1015,0.1017,0.1014,67607.71,6869.610214
1771196400,0.1009,0.1011,0.1012,0.1004,205943.15,20774.311198
1771200000,0.1011,0.1011,0.102,0.1008,42515.41,4304.439422
1771203600,0.1009,0.1013,0.1014,0.1004,91368.84,9211.491007
1771207200,0.1011,0.1015,0.1021,0.1011,127616.62,12931.915725
1771210800,0.1015,0.1015,0.1015,0.1012,36325,3681.901728
1771214400,0.1016,0.1021,0.1025,0.1016,71545.82,7299.738158
1771218000,0.1022,0.1009,0.1023,0.1007,299591.12,30475.591666
1771221600,0.1011,0.1013,0.1018,0.1011,45108.51,4575.634303
1771225200,0.1012,0.1002,0.1012,0.1,38917.23,3903.071014
1771228800,0.1007,0.1007,0.1011,0.1004,95325.64,9600.879869
1771232400,0.1008,0.1016,0.1019,0.1008,63863.02,6478.066818
1771236000,0.1015,0.1013,0.1019,0.101,52942.85,5368.608454
