time,open,close,high,low,volume,turnover
1728864000,0.175,0.2231,0.2408,0.175,358688.02,81781.96432
1728950400,0.2231,0.221,0.2384,0.2154,254165.49,56949.092734
1729036800,0.2225,0.2174,0.2262,0.2155,197673.84,43709.401785
1729123200,0.218,0.2091,0.2216,0.2091,150077.43,32400.703818
1729209600,0.2103,0.2089,0.2145,0.2084,96524.75,20441.267594
1729296000,0.2104,0.2016,0.22,0.1975,227572.26,46655.495841
1729382400,0.2016,0.1972,0.208,0.1904,210997.18,41940.438144
1729468800,0.1983,0.189,0.1999,0.1772,513875.45,96301.442822
1729555200,0.1902,0.1994,0.2049,0.1895,234744.49,46199.800491
1729641600,0.1994,0.1894,0.2008,0.1864,159436.35,30804.200297
1729728000,0.1894,0.1832,0.1918,0.1792,118947.29,21940.654082
1729814400,0.184,0.1725,0.1868,0.1666,211342.02,37721.145277
1729900800,0.1721,0.1753,0.2043,0.1703,173045.99,30901.820689
1729987200,0.1729,0.1819,0.1882,0.158,199783.12,35435.799002
1730073600,0.1819,0.1869,0.188,0.1612,111801.72,20104.948406
1730160000,0.185,0.1974,0.2044,0.185,323189.92,63052.033233
1730246400,0.1984,0.1971,0.2019,0.1941,117508.71,23354.802189
1730332800,0.1971,0.1697,0.1999,0.1685,405421.99,74127.543863
1730419200,0.1714,0.1766,0.1852,0.1578,237320.06,40938.601656
1730505600,0.1766,0.1769,0.1814,0.1756,73224.3,13074.18252
1730592000,0.177,0.168,0.1852,0.1632,447751.26,76416.690112
1730678400,0.1673,0.1621,0.1705,0.162,168658.03,27860.196457
1730764800,0.1621,0.1652,0.1689,0.1616,101539.7,16780.259294
1730851200,0.1655,0.1712,0.1825,0.1653,334011.64,58569.213161
1730937600,0.1702,0.1693,0.1842,0.1568,565594.24,95733.60046
1731024000,0.1692,0.1773,0.1827,0.1686,330959.91,58273.138407
1731110400,0.1774,0.1923,0.1933,0.1748,317556.75,58227.949269
1731196800,0.1922,0.2336,0.2389,0.1884,915560.81,202928.702943
1731283200,0.2326,0.2407,0.2415,0.2201,562332.18,130882.780158
1731369600,0.2407,0.2478,0.254,0.2309,645548.4,156545.590568
1731456000,0.2478,0.2609,0.2659,0.2317,589590.85,148833.806622
1731542400,0.2598,0.2872,0.2906,0.2591,593485.92,161122.665796
1731628800,0.286,0.338,0.3403,0.2709,1404699.62,431264.880659
1731715200,0.335,0.3211,0.348,0.319,967693.3,320702.027861
1731801600,0.3211,0.3135,0.3241,0.2985,417571.07,129737.64679
