time,open,close,high,low,volume,turnover
1774890000,0.06999,0.06991,0.07004,0.0699,826638.3,57838.855427
1774891800,0.06991,0.06936,0.07013,0.06936,338408.9,23632.638341
1774893600,0.06964,0.06936,0.06967,0.06936,232917.9,16168.161539
1774895400,0.06936,0.06936,0.06936,0.06936,0,0
1774897200,0.06936,0.06923,0.06982,0.06923,911740.4,63231.207109
1774899000,0.06929,0.06936,0.06976,0.06901,1099154.8,76239.282202
1774900800,0.0692,0.0693,0.06958,0.06885,1080452.3,74650.029927
1774902600,0.06909,0.06915,0.06976,0.06899,1071273,74172.328076
1774904400,0.06928,0.06943,0.06987,0.06911,1071642.7,74411.891
1774906200,0.06979,0.06985,0.06995,0.06941,1026297.1,71462.646029
1774908000,0.06952,0.06928,0.06995,0.06925,1078806.7,75055.74063
1774909800,0.06955,0.06959,0.06989,0.06925,1103743.6,76673.705392
1774911600,0.06959,0.0695,0.06968,0.06913,1114609.6,77313.791432
1774913400,0.06928,0.06928,0.06973,0.06914,1071630.2,74348.689807
1774915200,0.06944,0.06928,0.06979,0.06914,1107803.9,76862.869353
1774917000,0.06928,0.0693,0.06958,0.06889,1074618.7,74375.740766
1774918800,0.06931,0.06918,0.06979,0.06903,1085611.5,75246.929625
1774920600,0.06953,0.06968,0.06995,0.06913,1100488.8,76536.871897
1774922400,0.06945,0.0697,0.06985,0.06928,1083531.2,75373.826401
1774924200,0.06948,0.06949,0.06992,0.06928,1895248.8,131802.058165
1774926000,0.06976,0.0696,0.06993,0.06916,2161644.4,150179.234797
1774927800,0.06932,0.06969,0.0698,0.06917,2152107.9,149431.811242
1774929600,0.06934,0.06926,0.06994,0.06901,2165089.4,150400.64996
1774931400,0.06923,0.06915,0.0698,0.06901,2075918.2,144027.238486
1774933200,0.06974,0.06917,0.0698,0.0689,2141436.1,148489.14526
1774935000,0.06938,0.06994,0.07019,0.06899,2143959.1,149094.146865
1774936800,0.06939,0.06995,0.07004,0.06935,2062419.7,144116.124025
