time,open,close,high,low,volume,turnover
1776084000,4687.25,4687.25,4687.25,4687.25,0.0172,80.6207
1776084300,4687.95,4693.91,4693.91,4687.95,0.0697,326.894099
1776084600,4693.45,4695.62,4695.98,4693.25,1.4128,6633.395069
1776084900,4694.95,4693.64,4694.98,4693.64,0.1485,697.105099
1776085200,4696.03,4695.89,4701.22,4695.76,0.1898,891.713074
1776085500,4699.28,4699.95,4701.52,4699.28,0.1191,559.896591
1776085800,4698.78,4705.63,4706.39,4698.78,1.2528,5894.565111
1776086100,4706.52,4707.01,4707.01,4704.64,0.1343,631.996232
1776086400,4705.96,4701.17,4705.96,4701.17,0.13,611.679975
1776086700,4703.99,4704.47,4704.47,4702.33,0.335,1575.666188
1776087000,4704.45,4702.87,4706.46,4702.87,0.5449,2563.604223
1776087300,4702.86,4699.55,4702.86,4697.99,1.8655,8767.103311
1776087600,4698.65,4696.94,4698.65,4696.94,0.0362,170.046906
1776087900,4696.93,4709.02,4709.02,4694.75,0.636,2990.46771
1776088200,4709.06,4694.18,4713.45,4694.18,1.0552,4965.450274
1776088500,4699.28,4701.99,4701.99,4699.28,0.0125,58.7681
1776088800,4702,4694.87,4702,4694.87,0.3574,1679.800186
1776089100,4694.02,4694.29,4695.07,4694.02,0.1308,614.02619
1776089400,4696.67,4695.97,4696.67,4695.97,0.0857,402.484179
1776089700,4697.4,4689.88,4697.4,4689.88,0.4502,2113.011694
1776090000,4690.44,4689.12,4690.88,4682.98,0.5812,2723.788235
1776090300,4686.43,4687.73,4687.73,4686.43,0.0448,209.962074
1776090600,4685.6,4689.7,4689.7,4682.89,0.1428,669.083082
1776090900,4690.45,4688.56,4690.45,4688.56,0.0742,347.961271
1776091200,4691.86,4690.2,4691.86,4690.2,0.1855,870.257576
1776091500,4693.91,4689.22,4693.91,4689.22,0.1621,760.332507
1776091800,4688.06,4685,4688.06,4684.75,0.2242,1050.77685
1776092100,4685.61,4690.46,4690.46,4685.61,0.1148,537.91923
1776092400,4690.51,4679.17,4690.51,4678.07,1.3217,6187.210356
1776092700,4677.76,4673.44,4677.8,4673.09,0.4022,1880.430402
1776093000,4677.8,4678.05,4678.81,4677.23,0.1027,480.428797
1776093300,4680.01,4681.05,4681.05,4679.27,0.2239,1047.925081
1776093600,4680.27,4677.4,4680.27,4677.4,0.1786,835.684051
1776093900,4677.02,4677.66,4678.95,4675.99,2.06,9634.927061
1776094200,4676.8,4676.39,4676.8,4675.53,0.4149,1940.253779
1776094500,4683.03,4688.62,4688.73,4683,0.7046,3302.774749
1776094800,4687.26,4685.5,4687.26,4683.65,0.5069,2375.434422
1776095100,4684.62,4683.65,4684.78,4683.36,0.1932,904.929903
1776095400,4686.8,4686.21,4687.38,4685.8,0.2349,1100.832383
1776095700,4687.17,4686.18,4687.77,4686.18,0.2834,1328.454489
1776096000,4687.92,4683.99,4687.95,4683.99,0.7077,3316.912225
1776096300,4684.65,4690.59,4690.59,4683.78,0.5746,2692.647309
1776096600,4687.84,4687.84,4687.84,4687.84,0.0195,91.41288
1776096900,4691.53,4697.25,4699.98,4691.53,0.5127,2407.406761
1776097200,4699.99,4695.21,4701.63,4695.21,0.7622,3580.143875
1776097500,4699.28,4702.57,4704.65,4699.06,0.1604,754.326796
1776097800,4702.72,4705.36,4705.99,4700.14,0.7266,3417.549533
1776098100,4704.38,4705.97,4706.92,4703.81,0.2333,1097.555244
1776098400,4706.97,4708,4708,4702.86,0.6761,3181.481332
1776098700,4710,4710.18,4715.75,4710,0.5138,2421.476919
1776099000,4710.01,4709.45,4714,4709.45,0.5869,2764.915058
1776099300,4708.88,4706.3,4708.88,4706.3,0.1334,628.012055
1776099600,4706.41,4709,4709,4706.21,0.1474,693.714237
1776099900,4709.99,4700,4709.99,4700,0.6433,3025.784201
1776100200,4701.99,4702,4702,4701.99,0.0237,111.437184
1776100500,4704,4714.3,4714.3,4704,0.7314,3444.632419
1776100800,4714.21,4715.95,4717.24,4712.96,0.2793,1316.949917
1776101100,4715.94,4715.33,4718.81,4715.33,0.7155,3374.986108
1776101400,4716.73,4716.73,4716.73,4716.73,0.0213,100.466349
1776101700,4716,4715.49,4716,4715.49,1.1518,5431.883912
1776102000,4717.24,4716.06,4717.24,4716.06,0.1107,522.131117
1776102300,4714.94,4711.04,4714.94,4709.61,0.5759,2714.061713
1776102600,4710.63,4701.8,4710.63,4701.79,0.7003,3295.724027
1776102900,4703.55,4703.99,4703.99,4703.55,0.03969636,186.7302164764
1776103200,4703.65,4703.99,4703.99,4702.35,0.1339,629.759943
1776103500,4703.99,4702.47,4703.99,4702.47,0.1838,864.536874
1776103800,4703.99,4703.99,4703.99,4703.99,0.0442,207.916358
1776104100,4702.87,4699.28,4702.87,4697.96,0.5322,2501.57655
1776104400,4701.06,4701.06,4701.06,4701.05,0.0577,271.250924
1776104700,4699.25,4700.19,4700.19,4696.95,0.4007,1883.02023
1776105000,4702,4704,4704,4702,0.1109,521.659797
1776105300,4705.21,4705.24,4705.99,4704.61,0.3533,1662.387481
1776105600,4705.24,4705.24,4705.24,4705.24,0,0
1776105900,4705.99,4708,4708,4705.99,0.1613,759.185637
1776106200,4708.34,4711.23,4711.23,4708,0.2096,987.08139
1776106500,4710.82,4710.77,4710.82,4710.77,0.022,103.63802
1776106800,4711.17,4708.31,4711.17,4708.29,0.073,343.738374
1776107100,4708.52,4706.48,4708.52,4706.48,0.5268,2480.052332
1776107400,4707.31,4707.31,4707.31,4707.31,0.111,522.51141
1776107700,4707.31,4707.31,4707.31,4707.31,0,0
1776108000,4710,4711.22,4711.22,4710,0.0049,23.082416
1776108300,4712,4714.1,4714.44,4712,0.1379,650.074146
1776108600,4716,4716.64,4717.99,4716,0.1915,903.347416
1776108900,4715.55,4715.57,4717.04,4715.44,0.1917,904.11255
1776109200,4715.31,4712.96,4715.31,4712.96,0.187,881.576634
1776109500,4714.69,4714.73,4714.73,4713.9,0.1139,536.945017
1776109800,4716,4717.58,4717.99,4715.99,0.182,858.559143
1776110100,4717.42,4714.76,4717.42,4714.72,0.307,1447.753951
1776110400,4714.76,4714.7,4715.66,4714.25,0.1297,611.497472
1776110700,4716.21,4717.37,4717.37,4716.21,0.4739,2235.450214
1776111000,4715.85,4715.8,4715.85,4715.8,0.1107,522.04275
1776111300,4715.26,4714.94,4715.26,4714.94,0.1161,547.418428
1776111600,4715.4,4714.03,4715.4,4714.03,0.1109,522.917193
1776111900,4714.03,4713.22,4714.03,4713.21,0.1107,521.793969
1776112200,4712.35,4713.5,4713.5,4712.15,0.6581,3101.231445
1776112500,4713.81,4711.12,4714.22,4711.12,1.2013,5662.1064
1776112800,4711.12,4711.12,4711.12,4711.12,0,0
1776113100,4711.12,4711.12,4711.12,4711.12,0,0
1776113400,4712.88,4713.62,4713.99,4712.4,0.2773,1307.016343
1776113700,4713.98,4713.98,4713.98,4713.98,0.0195,91.92261
1776114000,4713.97,4712.25,4713.98,4712.25,0.1395,657.396616
1776114300,4712.25,4712.25,4712.25,4712.25,0,0
1776114600,4712.25,4712.25,4712.25,4712.25,0,0
1776114900,4712.72,4712.72,4712.72,4712.72,0.0018,8.482896
1776115200,4712.71,4712.71,4712.71,4712.71,0.4073,1919.486783
1776115500,4712.71,4712.71,4712.71,4712.71,0,0
1776115800,4714,4714,4714,4714,0.0021,9.8994
1776116100,4714.05,4713.39,4714.05,4713.39,0.0199,93.801147
1776116400,4714.19,4713.31,4714.19,4713.21,0.2727,1285.455763
1776116700,4713.31,4713.31,4713.31,4713.31,0,0
1776117000,4712.31,4712.31,4712.31,4712.31,0.02,94.2462
1776117300,4713.17,4713.17,4713.17,4713.17,0.0006,2.827902
1776117600,4713.34,4719.25,4726.64,4713.34,4.8975,23121.69932
1776117900,4721.53,4720.03,4721.6,4720.03,0.0743,350.754371
