time,open,close,high,low,volume,turnover
1760810400,4248.75,4231.33,4252.32,4231.33,28.3445,120370.493234
1760832000,4231.33,4237.33,4244.92,4231.33,2.1275,9014.310803
1760853600,4239.26,4237.46,4244.91,4233.72,2.1539,9130.056384
1760875200,4237.47,4235.28,4240.78,4232.16,7.2027,30510.074854
1760896800,4235.29,4231.73,4250.97,4227.23,13.4034,56813.909618
1760918400,4230.91,4233.17,4260.41,4211,11.9586,50658.421309
1760940000,4233.16,4263.19,4263.19,4200.95,24.3896,103125.441349
1760961600,4266.56,4337.12,4349.86,4265.38,19.4965,84248.776695
1760983200,4340.32,4355.9,4373.1,4335.6,15.5754,67661.653208
1761004800,4358.54,4320.43,4364.72,4310.32,14.1558,61443.72213
1761026400,4317.63,4249.54,4338.7,4246.59,8.9647,38417.307505
1761048000,4251.67,4112.36,4251.67,4088.74,30.555,126949.128441
1761069600,4111.62,4097.4,4133.13,4097.4,44.2066,182241.03456
1761091200,4096.38,4146.55,4167.21,4015.7,38.5394,157319.322708
1761112800,4141.72,4030.73,4317,4021.18,62.4269,258092.074114
1761134400,4031.52,4066.23,4083.8,4018.71,13.3591,54048.555029
1761156000,4068.34,4089,4107.91,4068.34,7.5412,30880.232207
1761177600,4087.16,4099.45,4099.45,4067.53,32.2822,131988.801544
1761199200,4104.38,4110,4125.46,4089.21,8.0779,33184.445024
1761220800,4108.45,4130,4303,3965.76,60.4355,250402.537306
1761242400,4131.92,4113.65,4135.28,4102.32,6.9123,28416.918551
1761264000,4117.33,4105.96,4131.92,4098.26,1.8004,7412.889798
1761285600,4102.32,4063.35,4102.32,4045.87,12.9026,52508.175255
1761307200,4064.1,4103.37,4127.24,4061.84,14.0721,57827.40062
1761328800,4102.32,4108.97,4113.65,4097.4,4.7037,19322.424992
1761350400,4112.33,4109.26,4117.85,4106.95,1.5937,6551.272876
1761372000,4108.6,4113.27,4113.27,4108.6,2.0117,8272.114498
1761393600,4113.29,4107.53,4113.44,4107.15,0.2451,1007.647896
