time,open,close,high,low,volume,turnover
1744848000,0.2362,0.237,0.24,0.2344,1582410.05,375297.175328
1744891200,0.2372,0.2393,0.2423,0.2366,3949311.31,945081.199857
1744934400,0.2395,0.2438,0.2445,0.2381,2572700.09,621811.838899
1744977600,0.244,0.24,0.2447,0.2396,2698428.31,653666.858482
1745020800,0.24,0.2461,0.2474,0.2398,1568478.38,383753.894447
1745064000,0.2461,0.2462,0.2495,0.2442,2422727.2,597119.066386
1745107200,0.2462,0.2415,0.2474,0.2391,1901601.1,464383.194236
1745150400,0.2415,0.2436,0.2452,0.2408,2673377.48,649378.838371
1745193600,0.2438,0.2577,0.2626,0.2437,7042472.03,1799058.850486
1745236800,0.2577,0.2501,0.2625,0.2485,9794756.49,2507022.126787
1745280000,0.25,0.2497,0.2522,0.2439,7028706.34,1742307.455265
1745323200,0.2497,0.265,0.2679,0.2494,11873645.36,3085606.99959
1745366400,0.2651,0.2707,0.2738,0.2634,6272600.26,1684876.561765
1745409600,0.2707,0.2663,0.275,0.2636,7764119.56,2087338.126781
1745452800,0.2663,0.2651,0.2677,0.2587,4148953.4,1091012.484523
1745496000,0.2655,0.281,0.2836,0.2647,9850950.23,2715851.437677
1745539200,0.281,0.2844,0.2852,0.2741,6511821.85,1822711.447235
1745582400,0.2846,0.2836,0.2913,0.2811,6576984.76,1879084.270319
1745625600,0.2836,0.2889,0.2974,0.2836,6488107.65999428,1894666.21324131832
1745668800,0.2894,0.2907,0.2929,0.2871,3657425.12,1059129.613381
1745712000,0.291,0.2825,0.2943,0.2815,6419764,1853089.056922
1745755200,0.2825,0.284,0.2897,0.2806,5762422.74,1645459.17145
1745798400,0.2841,0.2879,0.2942,0.2783,6920313.82,1988827.528163
1745841600,0.2881,0.2822,0.2888,0.2806,4596984.99,1304205.884835
1745884800,0.2823,0.28,0.2851,0.2785,3235813.68998857,910979.870233751594
1745928000,0.28,0.278,0.2825,0.2753,4281067.86,1195620.440126
1745971200,0.2776,0.2788,0.2819,0.2751,2366161.27,658530.891202
1746014400,0.2789,0.2711,0.2789,0.2671,4641631.86,1259641.62515
1746057600,0.2711,0.2793,0.28,0.2702,3084128.27,846006.353939
1746100800,0.2796,0.2735,0.2803,0.2735,3475411.14,963739.303909
1746144000,0.2736,0.276,0.2795,0.2732,1897170.2,523605.206695
1746187200,0.276,0.2746,0.2822,0.2704,3892728.30034205,1074568.39459713216
1746230400,0.2746,0.2682,0.2757,0.2678,1692987.48,460335.432396
1746273600,0.2682,0.2691,0.2737,0.2681,2386723.94,647636.361313
1746316800,0.2689,0.2687,0.2735,0.2675,2441602.85,658693.68287
1746360000,0.2686,0.2655,0.2706,0.2648,2545904.81624807,681107.358648737006
1746403200,0.2653,0.2623,0.2702,0.2616,2958483.39,787303.016184
1746446400,0.262,0.2584,0.2642,0.2561,4463453.57,1161515.526831
1746489600,0.2583,0.2545,0.2603,0.2527,2299293.49,590169.456808
1746532800,0.2544,0.2627,0.2631,0.252,3897301.25,1001022.622744
1746576000,0.2629,0.2628,0.2644,0.2597,2614542.96,684128.592898
1746619200,0.2629,0.2604,0.2629,0.2565,2946627.63,764073.970489
1746662400,0.2604,0.2738,0.2763,0.2589,3348927.94,900845.17736
1746705600,0.2738,0.2912,0.2915,0.2727,6368920.75,1802919.04206
1746748800,0.2911,0.3006,0.3067,0.2894,7269341.48,2164692.004354
1746792000,0.3007,0.2955,0.3037,0.2928,3590924.5054495,1065275.7818392096
1746835200,0.2953,0.2995,0.3066,0.2937,3528408.01,1062904.643607
1746878400,0.2995,0.3216,0.3216,0.2995,4908631.88,1517391.202525
1746921600,0.3217,0.308,0.3246,0.302,4802344.84,1500388.179842
1746964800,0.3078,0.3063,0.3093,0.3006,3105089.52,949233.708617
1747008000,0.3062,0.315,0.3207,0.3056,7087334.05,2221958.765543
1747051200,0.3148,0.3126,0.3348,0.3058,19453135.6,6247714.629619
1747094400,0.3125,0.3088,0.3128,0.2973,5914914.43,1802232.4357
1747137600,0.3089,0.3141,0.3181,0.3027,6718522.34,2094274.585981
1747180800,0.314,0.3114,0.3181,0.3069,6988810.83,2181703.816802
1747224000,0.3116,0.3038,0.3141,0.3008,5927578.78,1819615.669695
1747267200,0.3037,0.2976,0.3078,0.2938,5330465.78982876,1594738.516310011536
1747310400,0.2977,0.2928,0.3032,0.2868,8709464.6542452,2568087.79336109796
1747353600,0.293,0.2982,0.3003,0.289,2994899.63,885430.706407
1747396800,0.2983,0.293,0.3008,0.2903,3014799.87,893486.149162
