time,open,close,high,low,volume,turnover
1775134800,0.1614,0.1612,0.1616,0.161,274573.12,44304.334642
1775136600,0.1613,0.1611,0.1614,0.1603,91110.88,14657.184589
1775138400,0.1612,0.1608,0.1615,0.1607,132125.23,21295.589382
1775140200,0.1612,0.1638,0.1665,0.1612,499604.22,81744.949494
1775142000,0.1638,0.1628,0.1638,0.1623,50078.59,8155.425136
1775143800,0.1629,0.1637,0.1642,0.1628,644532.41,105164.8335
1775145600,0.1636,0.1638,0.1638,0.163,56072.62,9161.805075
1775147400,0.1637,0.1648,0.1654,0.1637,84090.41,13866.646386
1775149200,0.1648,0.1656,0.1662,0.1643,72057.79,11923.739696
1775151000,0.1654,0.1636,0.1655,0.1636,727064.53,119720.273089
1775152800,0.1637,0.1637,0.1642,0.1635,44898.65,7355.895826
1775154600,0.1637,0.1652,0.1655,0.1637,28831.35,4755.551025
1775156400,0.1652,0.1646,0.1652,0.1645,65549.6,10797.980851
1775158200,0.1645,0.1645,0.1647,0.164,62098.43,10214.450871
1775160000,0.1645,0.1651,0.1651,0.164,59110.28,9729.253757
1775161800,0.1649,0.1645,0.1652,0.1645,90142.18,14856.527037
1775163600,0.1645,0.1639,0.1647,0.1637,93783.48,15407.318375
1775165400,0.1639,0.164,0.1641,0.1638,16640.47,2728.71663
1775167200,0.1639,0.1637,0.1639,0.1635,24834.36,4063.430297
1775169000,0.1637,0.1636,0.1638,0.1635,50030.31,8187.352706
1775170800,0.1636,0.1627,0.1637,0.1623,114419.04,18626.213548
1775172600,0.1625,0.1629,0.1632,0.1625,21714.85,3537.406545
1775174400,0.1631,0.163,0.1634,0.1628,47708.41,7776.131505
1775176200,0.1627,0.1632,0.1634,0.1627,66553.84,10860.998622
1775178000,0.1632,0.1632,0.1632,0.1629,18492.37,3014.662065
1775179800,0.1635,0.1635,0.1636,0.1628,38100.32,6222.081926
1775181600,0.1634,0.1639,0.1644,0.163,40576.7,6650.511398
1775183400,0.1639,0.164,0.1642,0.1633,47186.43,7729.099741
1775185200,0.1641,0.1648,0.1651,0.1638,24226.55,3984.845032
1775187000,0.1649,0.1651,0.1651,0.1647,23260.46,3835.971547
1775188800,0.1651,0.165,0.1654,0.1648,52790.26,8710.359121
1775190600,0.1651,0.1654,0.1656,0.1646,62207.98,10268.267968
1775192400,0.1656,0.1658,0.1658,0.1648,38624.77,6381.973339
1775194200,0.1659,0.1656,0.1665,0.1656,48379.86,8035.100195
1775196000,0.1656,0.1654,0.1659,0.1652,37239.6,6162.129884
1775197800,0.1654,0.166,0.1665,0.1654,34718.84,5769.243217
1775199600,0.166,0.1649,0.166,0.1649,94169.23,15584.37294
1775201400,0.165,0.165,0.1659,0.1649,31149.74,5150.959598
1775203200,0.165,0.165,0.1654,0.1648,18863.04,3113.296069
1775205000,0.1649,0.1648,0.1652,0.1647,15533.56,2561.531631
1775206800,0.1648,0.1643,0.1649,0.1643,8005.24,1317.049553
