time,open,close,high,low,volume,turnover
1616544000,173,211.61,235.6,173,578.65579891,129810.6198024883
1616630400,212.06,214.67,222.22,195.29,1107.19028004,237825.0204361898
1616716800,216.56,221.83,225.03,215.67,1022.55937186,225867.410988984
1616803200,221.67,221.82,223.8,214.23,839.9845087,184842.962862642
1616889600,221.5,232.18,232.96,218.3,1782.64072921,401590.6270102446
1616976000,233.09,234.71,265.22,230.37,2080.64484279,494473.2879837003
1617062400,234,246.28,249.99,232.44,1904.27162976,456629.6730145701
1617148800,246.18,246.68,269.99,243.45,1642.42231646,417619.2894638189
1617235200,245.77,250.65,265.5,244.96,2536.02934503,637041.934436908
1617321600,250.41,257.34,264.14,249.06,1043.71575868,266243.0921550193
1617408000,257.84,257.85,267.14,252.68,2198.49260467,566729.8908462792
1617494400,255.58,264.32,272.57,246.95,1858.75852184,482025.3043268658
1617580800,263.69,264.09,269.11,242.67,2625.42946341,693384.849683103
1617667200,265.17,270.4,276.95,261.88,2512.87821354,674600.357940616
1617753600,270.55,257.08,280.52,252.38,5658.41889586,1502758.1539393547
1617840000,257.65,269.85,272.12,251.13,2057.38262607,544209.8109881745
1617926400,269.85,273.16,290,266.23,2759.76833598,765589.4946748753
1618012800,273.16,292.56,300,273.16,3332.9652653,967695.6627385832
1618099200,293.25,329.96,330,291.8,4949.28810339,1541136.9686857492
1618185600,329.99,314,359.15,313.75,4888.73298309,1609369.866180056
1618272000,314.19,327.23,332,307.08,4086.65462362,1298422.3737036599
1618358400,327.64,320.62,330.85,307.5,3574.69885402,1147276.3203093368
1618444800,320.62,345.6,347.3,317.86,3525.26957889,1181408.5531780143
1618531200,345.72,340.77,350,313.03,5589.20320496,1878689.9847085449
1618617600,341.17,363.49,375.99,340.84,6299.38543245,2257840.3334896925
1618704000,363.32,340,375.55,251.89,8390.87800371,2711524.5082937969
1618790400,339.89,357,365.48,305.39,4136.01308213,1403364.8930339289
1618876800,358.16,404.2,415.11,327.56,15212.36211419,5827537.0905539078
1618963200,403.88,375.24,425,373.95,9639.31879064,3855826.7450684409
1619049600,375.24,347.15,390.54,340,6120.87959583,2272451.4726463908
1619136000,347.1,354.9,354.9,300.03,7242.28472656,2368679.7120935733
1619222400,353.06,381.54,398,338.46,7423.1489221,2758010.5441389117
1619308800,381.8,355.52,405,335.3,6630.14748424,2484748.9232712636
1619395200,355.15,405,405,342.21,7661.42168195,2902021.3879807013
1619481600,405.74,401.79,412.26,385.41,3834.74227462,1532646.9066780977
1619568000,401.25,413.04,440,399.66,6627.34547793,2790090.9828063236
1619654400,412.94,407.75,425.5,399.38,3379.11125626,1390340.825239705
1619740800,407.57,421.84,422.88,403.54,3126.64929255,1293251.9389858086
1619827200,421.84,426.1,434.19,414,2872.89268246,1216500.8329551952
1619913600,425.39,405.06,427.16,400.3,2850.92232917,1174728.7826805004
