time,open,close,high,low,volume,turnover
1770692400,341.84,341.81,343.16,335.87,3565.899,1211128.78534
1770696000,341.64,338.08,342.15,336.55,1791.56,607060.88249
1770699600,338.16,334,340.42,333.45,2228.932,748421.90523
1770703200,334.01,328.02,334.01,326.8,2385.68,788739.91277
1770706800,328.29,333.08,334.09,327.5,1827.25,604167.82043
1770710400,333.2,331.22,334.73,329.66,1828.957,607227.94204
1770714000,331.19,332.76,334.7,329.46,2341.332,777272.03564
1770717600,332.87,334.49,336.31,331.43,2070.432,691583.53174
1770721200,334.55,330.54,338.46,330.22,1923.201,642485.34041
1770724800,330.53,328.64,335.14,328.32,3038.14,1008861.41669
1770728400,328.54,328.04,329.87,325.04,3218.246,1053132.41177
1770732000,328.22,326.5,332.49,325.22,2776.02,913148.32619
1770735600,326.66,328.14,330.8,325.45,2623.605,859968.22639
1770739200,328.4,328.62,332.08,325.75,2280.025,748962.84564
1770742800,328.44,325.68,328.74,323.88,2641.248,860979.81662
1770746400,325.93,322.98,326.31,319.32,3324.927,1071804.2434
1770750000,322.84,323.33,326.26,321.14,2507.268,810909.50502
1770753600,323.41,330.44,330.63,323.33,3195.901,1046446.99996
1770757200,330.36,335.04,336.86,330.29,2932.433,978062.11494
1770760800,335.01,341.18,343.1,334.61,1865.086,630960.38415
1770764400,341.04,346.56,346.56,339.92,2422.785,832392.94939
1770768000,346.54,349.51,350.44,344.64,3062.571,1066117.61283
1770771600,349.43,345.25,362.94,344.23,5458.202,1931078.53314
1770775200,345.71,343.91,349.59,341.07,3370.543,1163472.95421
1770778800,343.84,343.56,347.57,342.39,1540.995,530827.02224
1770782400,343.95,340.97,344.87,339.65,1864.744,638351.24035
1770786000,341.18,344.36,345.33,340.92,2323.127,796626.94333
1770789600,344.37,340.79,346.11,338.76,2182.889,747931.08412
1770793200,340.79,341.41,344.17,338.19,2144.755,731981.06513
1770796800,341.3,347.82,349.24,340.58,2705.274,932642.12454
1770800400,347.76,346.3,348.87,343.72,2636.238,912690.43202
1770804000,346.69,344,348.38,343.03,2376.874,821030.69605
1770807600,343.99,337.15,344.98,335.87,4926.854,1674434.6364
1770811200,337.15,342.18,343.02,337.07,2945,1004469.14026
1770814800,342.39,341.52,346.25,339.34,3192.804,1092803.94104
1770818400,341.49,337.57,344.84,335.75,3083.654,1048909.48979
1770822000,337.91,335.82,339.56,332.52,2774.574,929383.86005
1770825600,335.81,339.89,341.76,335.22,3167.842,1075810.42997
1770829200,340.05,346.43,349.63,337.5,4098.304,1407902.13297
1770832800,346.5,347.02,347.98,340.45,2349.368,809658.02651
1770836400,347.1,349.52,352.5,346.29,1405.55,491110.52237
1770840000,349.53,344.08,349.64,342.84,1193.647,412865.7303
1770843600,344.33,345.56,348.5,343.97,1436.492,497564.51582
1770847200,345.57,350.74,350.83,345.29,1827.453,637355.61913
1770850800,350.3,346.49,350.86,342.8,1741.751,602243.21642
1770854400,346.34,349.8,350.86,345.25,1029.419,358092.31439
1770858000,349.82,349.2,352.23,348.01,1895.955,663431.3601
1770861600,349.2,346.82,350.79,346.39,1826.917,636740.77927
1770865200,346.82,350.54,354.1,346.42,1095.421,383198.39404
1770868800,350.68,348.49,354.08,348,2188.539,768885.81107
1770872400,348.5,341.31,350.29,340.95,3783.578,1305684.97023
1770876000,341.42,342.33,345.14,341.22,1069.962,366853.95753
1770879600,342.38,342.66,343.1,339.5,1296.99,442915.9769
1770883200,342.72,338.87,342.82,337.25,1871.023,634719.95266
1770886800,338.84,340.38,342.63,337,1604.442,545460.77295
1770890400,340.44,341.81,342.18,339.65,1423.889,485197.32664
1770894000,341.75,339.83,342.4,338.39,1645.736,560415.41262
1770897600,339.77,339.43,340.26,334.32,2562.428,865125.80908
1770901200,339.35,339.74,343.67,338.32,2387.517,814489.93999
1770904800,339.84,338.78,341.15,337.81,1285.168,436127.8854
1770908400,338.78,335.72,341.26,335.72,1697.86,573338.35353
1770912000,335.97,328.14,336.59,325.21,4328.745,1425940.20169
1770915600,328.52,330.52,334.25,326.15,1933.576,638649.80564
1770919200,330.65,330.1,331.9,325.11,2481.357,813570.78868
1770922800,330.38,330.57,332.71,327.69,2885.379,953237.74159
1770926400,330.36,326.38,331.16,324.23,2714.941,888989.17419
1770930000,326.38,329.8,329.97,326.16,1114.102,366191.83008
1770933600,329.79,332.84,332.93,328,2144.094,708667.33
1770937200,332.74,337.05,337.05,332.14,2101.531,702049.45349
1770940800,337.06,334.79,338.18,333.01,1302.983,437216.70435
1770944400,334.87,333.24,336.7,332.19,1089.822,365234.30589
1770948000,333.45,333.36,335.83,332.13,1202.251,401761.67535
1770951600,333.69,332.75,335.37,330.54,589.28,196224.20722
1770955200,332.85,334.34,336.14,331.18,1527.569,510047.75249
1770958800,334.45,333.3,336.23,331.94,1736.935,580648.41446
1770962400,333.21,341.37,341.79,331.78,2894.245,973323.43807
1770966000,341.65,339.46,342.25,339.2,2701.856,920554.31357
1770969600,339.47,340.63,342.58,337.68,3156.022,1074421.41016
1770973200,340.85,337.99,340.85,337.01,2522.188,853318.61978
1770976800,338.12,340.66,341.36,335.92,2871.407,972354.95459
1770980400,340.8,340.33,342.59,339.3,2013.124,686537.61985
1770984000,340.26,341.46,344.54,339.98,2289.014,783497.15906
1770987600,341.6,339.94,343.3,339.68,2242.439,765650.06388
1770991200,339.86,339.6,340.44,335.54,3043.263,1029904.87061
1770994800,339.8,347.08,348.11,338.68,3312.478,1139467.44868
1770998400,347.15,350.75,353.01,345.97,2317.3,810945.82035
1771002000,350.76,352.16,354.1,349.35,2946.439,1037128.46344
1771005600,352.33,357.59,364.99,351.33,4090.457,1468949.30347
1771009200,357.8,355.11,357.81,352.02,4437.643,1576673.11584
1771012800,355.1,353.73,355.6,350.49,3360.134,1187929.73896
1771016400,353.53,354.19,354.39,351.36,2273.276,802491.93581
1771020000,354.21,349.76,354.71,349.29,1937.275,682093.64128
1771023600,349.87,351.99,352.9,348.21,2134.979,747965.7557
1771027200,351.97,354.84,355.97,350.52,2268.044,800372.57008
1771030800,354.72,357.44,358.89,354.08,1607.918,573647.3273
1771034400,357.48,361.19,362.66,356.2,2968.41,1068118.56855
1771038000,361.23,357.6,363.01,356.35,3451.313,1241539.62495
1771041600,357.64,355.36,358.32,351.36,4146.425,1469581.91966
1771045200,355.42,354,356.95,353.81,1170.973,416378.21511
1771048800,354.11,355.51,357.47,352.97,1410.161,500745.973
1771052400,355.51,351.55,356.78,351.35,2394.372,846958.52101
1771056000,351.64,356.14,357.32,351.1,2632.773,931409.78197
1771059600,356.07,354.22,357.79,353.98,2638.551,938993.62144
1771063200,354.38,353.95,356.59,353.23,1254.415,444768.56821
1771066800,354.02,355.55,356.22,352.33,2010.962,712734.48915
1771070400,355.54,356.23,358.31,354.58,2353.847,839109.06525
1771074000,356.27,353.06,357.38,353.06,2255.814,801008.59165
