time,open,close,high,low,volume,turnover
1775654400,1.38452,1.38472,1.38508,1.38375,15526.7173,21497.697492859
1775655000,1.38524,1.37829,1.38788,1.37805,890339.7269,1231480.641204807
1775655600,1.37861,1.3788,1.37965,1.37521,705657.6440937801,972501.3182206315
1775656200,1.37868,1.37431,1.37883,1.37376,114740.9254,157856.029676242
1775656800,1.37396,1.36765,1.37508,1.36753,615158.4247,843950.9504612561
1775657400,1.36752,1.3679,1.37306,1.36731,493141.57220000005,675753.171119173
1775658000,1.36795,1.36618,1.36926,1.3652,331317.2504,453115.45682214503
1775658600,1.36619,1.35645,1.36694,1.35258,1182900.07580716,1605967.9160160448
1775659200,1.35655,1.35414,1.35908,1.35012,669727.2233,907282.6502606571
1775659800,1.3543,1.35024,1.3543,1.3454,1271221.334,1714831.970620649
1775660400,1.34995,1.35,1.35369,1.34911,520782.52599999995,703640.194138402
1775661000,1.35004,1.3547,1.35471,1.34951,400077.2208,540933.9413280999
1775661600,1.35469,1.35418,1.3549,1.35331,217618.4755,294728.64899708
1775662200,1.35387,1.35515,1.35675,1.35281,352629.6002,477674.118696979
1775662800,1.35433,1.35549,1.35651,1.35417,181464.54090000002,245962.61348787398
1775663400,1.35546,1.35492,1.35569,1.35282,153353.6311,207682.389229778
1775664000,1.35467,1.35759,1.35814,1.35404,159981.6389,217052.997689055
1775664600,1.35748,1.35793,1.35793,1.35555,38384.835699999996,52090.533210128
1775665200,1.35734,1.35604,1.3587,1.35596,229769.4691,311875.489881039
1775665800,1.35575,1.3557,1.35589,1.35237,279805.8795,378884.059318077
1775666400,1.3557,1.35852,1.35885,1.3557,168630.2648,228817.344657086
1775667000,1.35867,1.35728,1.35949,1.35638,205547.5643,279076.093020347
1775667600,1.35719,1.35887,1.35998,1.35657,253079.8361,343803.662392552
1775668200,1.35882,1.35927,1.3606,1.35828,289888.2025,394084.816980757
1775668800,1.35894,1.35632,1.35897,1.35471,220819.8015,299792.422061214
1775669400,1.35635,1.36149,1.36357,1.35505,268103.13975791,364476.0757908665
1775670000,1.36129,1.36182,1.36225,1.35989,217830.3802,296514.688808525
1775670600,1.3618,1.36222,1.36222,1.36055,321195.6586,437300.154509522
1775671200,1.36252,1.36012,1.36266,1.36012,116331.632,158331.149993896
1775671800,1.36001,1.355,1.36006,1.35417,268126.9045,363839.321044463
1775672400,1.35454,1.35418,1.35592,1.3532,415528.1818,562825.927914778
1775673000,1.35459,1.35521,1.35689,1.35453,153920.6249,208668.855211711
1775673600,1.35461,1.35128,1.35461,1.35128,177201.297,239685.205006517
1775674200,1.35124,1.34817,1.35124,1.34742,241252.2758,325470.781994572
1775674800,1.34769,1.34855,1.34949,1.34606,189055.7232,254793.055190611
1775675400,1.34906,1.34787,1.3506,1.34673,177846.941,239913.315989786
1775676000,1.34788,1.34495,1.34788,1.34449,229508.1104,308948.871159438
1775676600,1.34495,1.34753,1.3481,1.34448,313518.9767,421996.462068341
1775677200,1.34712,1.34917,1.34952,1.34577,111024.0664,149632.20878566
1775677800,1.34928,1.35147,1.35192,1.34741,180662.64810000002,243740.00702081798
1775678400,1.35135,1.35231,1.3532,1.35052,215730.905,291612.683583082
1775679000,1.35207,1.35094,1.35263,1.3508,108306.9476,146417.403337917
1775679600,1.35116,1.35003,1.35116,1.34957,38876.7294,52491.144434284004
1775680200,1.35003,1.34791,1.35114,1.3464,91052.11978326,122859.800432869
1775680800,1.34772,1.34709,1.34773,1.34623,76713.3271,103328.348032047
1775681400,1.34758,1.34847,1.34847,1.34694,50284.6091,67775.514120623
1775682000,1.34872,1.34931,1.34966,1.34772,47598.7715,64175.484378276
1775682600,1.34948,1.35265,1.3531,1.34947,112732.1004,152415.394845082
1775683200,1.35263,1.35578,1.35732,1.35263,325676.5165,441334.500899335
1775683800,1.35586,1.35362,1.35679,1.3534,469066.3516,635817.0499216081
1775684400,1.3542,1.35318,1.35472,1.35196,485223.2476,656556.840501901
1775685000,1.35353,1.35279,1.35387,1.35275,130570.94,176676.21912677598
1775685600,1.35339,1.3505,1.35339,1.35,385646.0104,520917.39073335903
1775686200,1.35049,1.34844,1.35071,1.34786,169316.142,228416.69255569897
1775686800,1.34823,1.34602,1.34943,1.3458,433014.53839999996,583541.515572936
1775687400,1.3463,1.34913,1.35024,1.34492,146176.8138,197086.61369074899
1775688000,1.34932,1.34882,1.34932,1.34809,45125.951199999996,60857.486780184
1775688600,1.34907,1.3447,1.34918,1.34462,89702.76310000001,120833.406529661
1775689200,1.34465,1.34073,1.34465,1.34,342574.61199999996,459499.355311546
1775689800,1.34058,1.34135,1.34596,1.34058,156348.21360000002,210054.243609918
1775690400,1.3413,1.34041,1.34282,1.33897,319541.2415,428379.783738614
1775691000,1.34019,1.34064,1.34213,1.3393,125114.3632,167718.78705127002
1775691600,1.34067,1.34292,1.34292,1.34045,133278.0134,178783.16763750103
1775692200,1.3431,1.34285,1.3431,1.3413,30269.049,40645.449457644
1775692800,1.34231,1.34111,1.34287,1.34037,111648.1802,149762.514548162
1775693400,1.34053,1.33915,1.34152,1.33813,115190.5106,154395.837097353
1775694000,1.33856,1.33707,1.33997,1.337,163241.2093,218543.169947565
1775694600,1.33699,1.33473,1.33896,1.33473,223174.41090000002,298308.835484676
1775695200,1.33472,1.33699,1.33771,1.33428,229414.9096,306459.766657672
1775695800,1.33697,1.33977,1.34042,1.33587,184647.2922,247157.698637501
1775696400,1.33948,1.33265,1.34043,1.33028,683970.5911,913297.093543991
1775697000,1.33225,1.33025,1.33413,1.3295,199195.7953,265261.80537188
1775697600,1.32999,1.32746,1.33141,1.3272,346862.2882,460856.901508031
1775698200,1.32739,1.33144,1.33182,1.32674,457635.0984,608522.389200341
1775698800,1.3314,1.33185,1.3327,1.33027,41041.6921,54646.931621387004
1775699400,1.33245,1.33402,1.33505,1.33234,199529.0859148,266077.93110048113
1775700000,1.33448,1.3356,1.33613,1.33375,74804.7607,99880.651538712
1775700600,1.33482,1.3357,1.3357,1.33267,13538.3773,18065.208382171997
1775701200,1.33618,1.33628,1.33628,1.33491,4132.9085000000005,5519.638941634
1775701800,1.33537,1.3337,1.33566,1.33324,25984.3245,34659.764574572
1775702400,1.33324,1.33489,1.33535,1.33216,192602.12180000002,256886.99687586102
1775703000,1.3351,1.33425,1.3358,1.33406,101388.22709999999,135352.500845414
1775703600,1.33401,1.33445,1.33574,1.33345,126834.57728113,169231.37111953268
1775704200,1.33341,1.33651,1.33651,1.33341,214962.7178,286923.245758811
1775704800,1.33655,1.33051,1.33677,1.3304,452492.4007,602921.331244832
1775705400,1.33064,1.33204,1.33218,1.33064,94979.84709999998,126453.731992452
1775706000,1.33226,1.33112,1.33226,1.3299,114726.47320000001,152674.05139655
1775706600,1.33176,1.33131,1.33284,1.33131,46451.9388,61881.663873649
1775707200,1.33096,1.33074,1.33096,1.32761,210224.6668,279548.91275812197
1775707800,1.3309,1.3305,1.33167,1.33009,103583.3767,137845.592621264
1775708400,1.33078,1.32914,1.33123,1.32882,158245.1044,210476.709816471
1775709000,1.32927,1.33149,1.33151,1.32892,60018.6647,79851.605378571
1775709600,1.33136,1.33068,1.3325,1.33019,104215.9106,138764.0100159
1775710200,1.33068,1.3314,1.33167,1.33061,96270.1701,128138.54106563199
1775710800,1.33171,1.33318,1.33369,1.33097,65760.7863,87595.93157731098
1775711400,1.33327,1.3338,1.3338,1.33219,17104.6561,22794.71584783
1775712000,1.334,1.33189,1.33521,1.33093,113474.88939999999,151241.52670794202
1775712600,1.33189,1.33549,1.3355,1.33154,59265.108,78994.282296222
1775713200,1.33549,1.33325,1.33549,1.33323,34095.773,45505.562102252
1775713800,1.33332,1.33319,1.33332,1.33139,54796.973000000005,72991.413319824
1775714400,1.33332,1.33278,1.3353,1.33278,21656.0925,28890.975147791
1775715000,1.33278,1.33002,1.33323,1.33002,11402.3534,15193.321729137999
1775715600,1.33002,1.32817,1.33002,1.32809,100432.9493,133466.352163974
1775716200,1.32807,1.33121,1.33166,1.32624,350767.1102,466396.749354808
1775716800,1.33177,1.33114,1.33244,1.33113,53965.6091,71873.442949202
1775717400,1.33104,1.33285,1.33285,1.33081,59373.4278,79093.38848642999
1775718000,1.33306,1.33314,1.3338,1.33221,131037.88990000001,174660.093888857
1775718600,1.33325,1.33159,1.33325,1.33105,52315.543999999994,69703.82144351999
1775719200,1.33134,1.33121,1.33149,1.33037,43433.9329,57814.469101626004
1775719800,1.33123,1.33348,1.33379,1.33123,50513.8621,67348.00174123599
1775720400,1.33311,1.3326,1.33311,1.33179,79873.4591,106420.459787586
1775721000,1.33187,1.33184,1.33303,1.33175,54691.4681,72872.758070373
1775721600,1.33197,1.33181,1.33329,1.33106,57888.013699999996,77111.167628891
1775722200,1.33158,1.33162,1.332,1.33058,60947.388600000006,81144.168019347
1775722800,1.33178,1.33217,1.33245,1.33135,49686.9682,66182.62339591299
1775723400,1.33217,1.33404,1.33418,1.33217,26850.7225,35811.571965869996
1775724000,1.33389,1.33469,1.33645,1.33342,86627.973,115651.24869736299
1775724600,1.33469,1.33512,1.33605,1.33346,103151.3716,137669.341928477
1775725200,1.33512,1.33475,1.33512,1.33377,94584.9373,126204.455740918
1775725800,1.33468,1.33668,1.338,1.33468,142098.354,189908.516164949
1775726400,1.33648,1.33528,1.33648,1.33486,72777.6403,97196.511978989
1775727000,1.33526,1.33511,1.33604,1.33463,37922.53628258,50641.9745162585
1775727600,1.33542,1.33654,1.33661,1.33498,65018.005300000004,86833.725058461
1775728200,1.33645,1.33823,1.33886,1.33625,82872.6888,110912.053254305
1775728800,1.33814,1.33636,1.33857,1.33636,87430.1227,116954.523805587
1775729400,1.33636,1.33546,1.33655,1.3353,51479.3697,68764.898306196
1775730000,1.33532,1.3365,1.33652,1.33532,71883.6235,96039.530234144
1775730600,1.3365,1.33503,1.3365,1.33452,32763.7334,43762.865097351
1775731200,1.33533,1.33561,1.33629,1.33533,34825.2711,46521.45353399
1775731800,1.33566,1.3331,1.33566,1.33306,59237.9403,79030.359624559
1775732400,1.33286,1.33365,1.3352,1.33205,118229.22700000001,157684.09448084602
1775733000,1.33337,1.33273,1.33337,1.33163,97254.908,129585.499684933
1775733600,1.33279,1.32881,1.33339,1.32865,162553.384,216475.67677721
1775734200,1.32889,1.32964,1.33012,1.32883,96813.56649999999,128695.000873429
1775734800,1.32957,1.32824,1.32993,1.32777,79633.98370000001,105812.612962389
1775735400,1.32823,1.32978,1.33048,1.32571,300802.871,399895.24407252
1775736000,1.32979,1.32977,1.33042,1.32901,132117.08000000002,175696.90300732502
1775736600,1.32982,1.32868,1.33012,1.32844,118501.40969999999,157521.837161754
1775737200,1.32841,1.32921,1.33071,1.32654,167689.8184,222756.727280998
1775737800,1.32921,1.32951,1.33011,1.32774,161648.65649999998,214848.39154785097
1775738400,1.32998,1.33058,1.3331,1.32937,244351.001,325198.09992129
1775739000,1.33008,1.33152,1.33174,1.32997,98460.2993,131022.479744535
1775739600,1.33185,1.33153,1.33268,1.33103,221379.2184,294790.463672924
1775740200,1.33133,1.33103,1.33143,1.33069,51386.0216,68400.402689115
1775740800,1.33102,1.33129,1.33169,1.32996,76331.4349,101587.495589672
