time,open,close,high,low,volume,turnover
1744848000,2.0831,2.10258,2.10869,2.06222,9238704.26358237,19297387.509017316638
1744891200,2.10267,2.06749,2.11471,2.05158,14531278.22970751,30216903.8687836231719
1744934400,2.06761,2.08025,2.08135,2.04382,6566630.8813326,13563902.0324987309549
1744977600,2.08024,2.06152,2.0895,2.05535,9182944.99051753,19051807.95451064903
1745020800,2.06165,2.08138,2.09742,2.05872,7194951.27714605,14986754.672654602602
1745064000,2.08139,2.08785,2.09511,2.06544,6183335.33917834,12889544.7573784943168
1745107200,2.0875,2.04281,2.09424,2.03901,6324664.65043392,13072819.9268264431382
1745150400,2.04287,2.0787,2.09111,2.04088,7214575.9502565,14897070.9730444916642
1745193600,2.07878,2.11819,2.14095,2.07691,12265064.56746255,25972090.5591836788838
1745236800,2.11757,2.08534,2.13901,2.06,11358780.93596061,23812256.0405810370916
1745280000,2.08534,2.09962,2.10802,2.0634,9576537.00782923,20010119.1545951692281
1745323200,2.09948,2.21376,2.25055,2.0944,27052689.77092437,58567462.6559312887058
1745366400,2.21394,2.25952,2.30063,2.1936,17536068.78143555,39456847.5192300755965
1745409600,2.25947,2.21827,2.29709,2.19019,22149869.76837654,49646088.4467511581864
1745452800,2.21797,2.1549,2.22326,2.11736,12062344.23218622,26148999.9798386061842
1745496000,2.15561,2.2047,2.23596,2.15082,20013162.87879762,43978951.9922531472558
1745539200,2.20476,2.20449,2.217,2.16332,11054288.53028258,24231084.7386365591101
1745582400,2.20449,2.18107,2.21913,2.17186,13891375.81299973,30517078.9351165762272
1745625600,2.18135,2.19385,2.24852,2.17975,11703071.88612962,25819704.237121768607
1745668800,2.19386,2.19121,2.20658,2.18273,6273655.0051,13773283.566769837
1745712000,2.19122,2.18081,2.20515,2.15902,7584794.68549289,16518090.8992270598964
1745755200,2.18051,2.25202,2.29513,2.1734,23243018.2902062,52213289.3581216506602
1745798400,2.25203,2.31877,2.36079,2.21429,19851566.3391465,45524287.4222790965732
1745841600,2.31878,2.29491,2.32905,2.24905,12944357.7431469,29629695.3797942404969
1745884800,2.29521,2.29128,2.3148,2.26456,9299816.827645,21275042.6824009378
1745928000,2.29159,2.23821,2.30433,2.22153,8966549.89580973,20368758.9796504475974
1745971200,2.23791,2.23853,2.25867,2.20776,6664972.92393676,14896875.1822729065148
1746014400,2.23854,2.19059,2.2387,2.12361,16511974.29752183,35950710.7391106088273
1746057600,2.19064,2.23736,2.24601,2.18628,8103578.72959347,17904765.9946110819364
1746100800,2.23745,2.2126,2.25637,2.20906,7496876.9923,16739968.844867488
1746144000,2.21205,2.2152,2.23392,2.19143,5135479.39757849,11371883.0598289312205
1746187200,2.2152,2.20882,2.24073,2.19528,7465021.92326274,16547820.2320199068
1746230400,2.20925,2.18805,2.22,2.18357,3674387.75023358,8094304.1491223901585
1746273600,2.18806,2.1873,2.21563,2.17588,4939653.77177837,10844322.5176597862352
1746316800,2.18704,2.18954,2.21867,2.17741,4404805.54591757,9673806.2757660095081
1746360000,2.18928,2.15604,2.20556,2.15096,5371366.9947866,11687279.789490010896
1746403200,2.15601,2.14247,2.19977,2.13237,8241132.3324605,17837853.619559460345
1746446400,2.14247,2.13063,2.16165,2.10671,9382839.25285729,20043584.1469141376933
1746489600,2.13062,2.08994,2.14061,2.08028,7819091.08110648,16462804.7851953288882
1746532800,2.09012,2.15437,2.15943,2.0771,9182939.88066997,19491915.2988164224983
1746576000,2.15547,2.14257,2.17158,2.12752,6633371.35196922,14226196.5562479752916
1746619200,2.14283,2.12686,2.14499,2.10411,9776123.0422909,20761121.0663240876775
1746662400,2.12686,2.2086,2.2185,2.11805,14019624.95919561,30577608.3943565592883
1746705600,2.20844,2.32725,2.33,2.20288,23607546.64396468,53425572.5126336812544
1746748800,2.32726,2.39524,2.42977,2.28327,27831061.53325913,65517663.3667063925417
1746792000,2.39438,2.34366,2.40646,2.32264,12899355.52420878,30448057.1636997358248
1746835200,2.34367,2.3794,2.43864,2.33572,14171350.53280858,33775763.1471335606338
1746878400,2.37963,2.47063,2.47681,2.37963,16619640.51757005,40283386.7692592932407
1746921600,2.47063,2.38586,2.484,2.34153,18013883.96859025,43163730.5155704284474
1746964800,2.38608,2.36671,2.38924,2.32732,13525716.92449243,31958656.1392053362794
1747008000,2.36715,2.44946,2.48345,2.35132,21969581.06913374,53072292.00512703735
1747051200,2.44814,2.54373,2.6555,2.43031,47585909.88585421,121417190.3596528286453
1747094400,2.54372,2.53459,2.5677,2.42153,24887235.28762327,62072663.5313488958746
1747137600,2.53459,2.58235,2.605,2.50507,23852388.79286132,60990971.0877655788966
1747180800,2.58261,2.61414,2.65156,2.54068,20894416.65786604,54167451.6057310739795
1747224000,2.61415,2.55077,2.62559,2.51892,16876542.2586,43248903.604778243
1747267200,2.55074,2.4779,2.57183,2.44814,18114873.59700973,45232140.4154084403673
1747310400,2.47789,2.38554,2.50533,2.35283,25927394.20714823,63277677.90021049409
1747353600,2.38548,2.42532,2.43999,2.34725,18610088.32904923,44652866.5353130518813
1747396800,2.42548,2.37972,2.439,2.36138,14561453.76965997,35089190.3467014309987
1747440000,2.37959,2.35308,2.38896,2.31288,14367812.26015501,33871529.027730908456
1747483200,2.35302,2.35292,2.36317,2.29847,13929963.79474359,32548378.834788137605
1747526400,2.35303,2.38764,2.40596,2.34922,6999734.77719649,16646286.0559907917501
1747569600,2.38784,2.42731,2.44951,2.32368,22413874.1928657,53617688.405242632764
1747612800,2.42828,2.32421,2.441,2.28291,19469832.56461098,45621780.3597309585194
1747656000,2.32422,2.38029,2.40051,2.29062,16046287.5711,37808115.003987586
1747699200,2.38043,2.34624,2.4087,2.33496,13301294.9661,31551120.920499641
1747742400,2.34625,2.35621,2.36502,2.31402,12732078.593,29811895.876102886
1747785600,2.35604,2.35269,2.38917,2.3308,10901279.83370537,25719376.8005820422952
1747828800,2.35222,2.39508,2.42875,2.33477,20184864.52961626,48085767.9754738322491
1747872000,2.39525,2.43143,2.45499,2.38803,15345965.20665029,37047358.4941877606273
1747915200,2.43147,2.43098,2.43872,2.40567,12101022.66361933,29356907.8031792917159
1747958400,2.43108,2.3633,2.47975,2.35204,14204477.28446891,34629601.4031533417702
1748001600,2.36347,2.29536,2.3828,2.28431,14230902.43655384,33336027.7496415097844
1748044800,2.29642,2.35182,2.35965,2.28595,5877385.91276494,13710766.0249867593811
1748088000,2.35181,2.33024,2.35675,2.32212,4097093.9847,9603690.600643819
1748131200,2.3306,2.29231,2.33668,2.27792,8030591.38628305,18503044.340912496463
1748174400,2.29224,2.34228,2.34432,2.26578,10665832.12862922,24579710.3459975395714
1748217600,2.3419,2.33559,2.35899,2.32936,7566335.85409227,17737298.0072538159208
1748260800,2.33539,2.31025,2.34541,2.29587,8882230.86035394,20579014.3175045533666
1748304000,2.31052,2.31989,2.32345,2.26713,9318227.85634893,21441474.4043695318984
1748347200,2.31977,2.31668,2.35428,2.30535,10004924.74902456,23335826.0885064392003
1748390400,2.31661,2.308,2.32316,2.28406,5615974.6014,12931169.650691002
1748433600,2.30825,2.27438,2.31536,2.22636,10935485.8352,24771571.727720696
1748476800,2.27439,2.30199,2.31261,2.26736,9917939.672065,22708000.8900283507
1748520000,2.30179,2.24428,2.30896,2.2384,11802210.9902,26873974.266219037
1748563200,2.24411,2.20648,2.2522,2.12567,20086714.33334103,44004810.5342381631638
1748606400,2.20648,2.13991,2.20961,2.12989,17918278.3516318,38959821.2846997891086
1748649600,2.13989,2.13983,2.15355,2.07913,16914614.70138275,35892275.273409521733
1748692800,2.13958,2.17355,2.20636,2.13958,9830719.25014492,21418565.7346295542446
1748736000,2.17404,2.14092,2.17856,2.12276,8866630.58614701,19086342.5889588878415
1748779200,2.14097,2.17924,2.18779,2.12622,11755147.98541758,25401619.4635522451567
1748822400,2.17915,2.14258,2.18371,2.13573,9194784.32936745,19864227.976986904884
1748865600,2.14264,2.19713,2.20445,2.13756,13451598.69160239,29185959.125789174569
1748908800,2.19717,2.21474,2.22221,2.18401,9587862.0034335,21117118.4143701587361
1748952000,2.21478,2.244,2.28168,2.20633,13831275.21854779,31104761.0531151877272
1748995200,2.24447,2.25229,2.26583,2.22771,7606037.07893003,17101299.4869622627049
1749038400,2.25306,2.20087,2.26133,2.19429,11023060.51471156,24535069.2834357430543
1749081600,2.20085,2.20499,2.21452,2.18389,7801844.09290549,17165416.5226417832696
1749124800,2.205,2.09376,2.22665,2.05878,28297705.52485612,60324972.8208374246077
1749168000,2.09376,2.15018,2.15582,2.0812,9086958.21570046,19309216.5157951089574
1749211200,2.15018,2.15956,2.19104,2.14821,11640343.37989412,25264829.7482182792478
1749254400,2.15952,2.18302,2.19098,2.1477,6824458.97755529,14837708.3672365726901
1749297600,2.1831,2.17667,2.19076,2.17251,6071120.22330403,13245130.5434138560064
1749340800,2.17667,2.24179,2.2496,2.16648,9162368.71952099,20212654.408091994385
1749384000,2.24175,2.26689,2.29494,2.24175,15568759.19522891,35391355.8053447275221
1749427200,2.26704,2.26891,2.27066,2.22253,9011118.08852875,20249077.2130920807782
1749470400,2.26907,2.32106,2.32916,2.24,14047829.46394562,32168375.2781195264955
1749513600,2.32106,2.30453,2.3275,2.27,9923288.92258916,22763364.1424545535072
1749556800,2.30454,2.3074,2.31894,2.25978,16841569.11901918,38619410.6418901147113
1749600000,2.30741,2.31446,2.32921,2.27768,9365716.96454206,21582421.0030882633633
1749643200,2.31472,2.2708,2.33786,2.25049,18892082.7765727,43367034.2405069245482
1749686400,2.27071,2.22531,2.2732,2.224,9344920.0787,20998919.950212662
