time,open,close,high,low,volume,turnover
1562112000,336.11,128,336.11,90.08,11.912654,1619.2883459644
1562198400,126.572,101.3,127.999,97.001,21.0073313,2244.01472851033
1562284800,102,98.042,103.199,97.842,5.687,579.7709403
1562371200,97.99,109.5,119.7,88.04,8.83823242,866.28208599
1562457600,100.001,109.499,109.499,100.001,2.9348,305.1949172
1562544000,109.49,101,109.5,100.084,10.0724,1085.0977425
1562630400,102.374,104.393,107.5,99.832,5.54473666,566.43972581748
1562716800,104.393,95.5,104.5,94.5,13.3771,1347.8836986
1562803200,90.99,86.9,99.899,84,29.8968,2622.6119481
1562889600,99.89,85.528,99.89,84.084,10.6359,963.6657332
1562976000,88.184,90,95.356,84.084,4.44264526,389.91944941256
1563062400,89.865,80.827,103,80.002,18.3696,1530.49085256744
1563148800,81.284,76.897,89.99,75,44.33645871,3507.9597826129
1563235200,76.897,67.8,77.225,61.618,63.29459465,4557.4670054463
1563321600,67.5,75.208,76.5,57.608,18.1687,1286.7348169
1563408000,78.276,79.377,93.5,72.774,57.6508,4532.8457612
1563494400,79.377,75.671,79.402,71.966,145.7331,11035.9302316
1563580800,76.08,77.524,86.376,72,163.05843312,12670.62244156409
1563667200,78.451,75.215,85.978,72.001,334.9113,25410.0252663
1563753600,75.209,74.252,75.672,71.034,221.76071254,16412.33487594816
1563840000,75.172,71.281,75.172,58,162.1566,11590.8829608
1563926400,71.281,70.393,72.32,64.138,108.7641,7588.2016309
1564012800,70.143,70.18,73.792,66.896,156.7887,11200.062912
1564099200,70.18,71.67,95.959,69.32,173.46549815,12545.45960111195
1564185600,71.67,69.23,83.448,68.276,183.52648335,13070.33728204655
1564272000,69.24,68.184,70.123,66.153,173.202,11950.5257556
1564358400,69.173,67.341,70.256,66,196.3445,13343.7813171
1564444800,67.341,66.98,67.683,65.517,188.8633,12597.6083896
1564531200,66.98,68.152,72.413,65.003,205.0695,13819.2035537
1564617600,68.152,67.282,69.655,65.003,199.19314509,13338.10215681025
1564704000,67.326,66.256,68.089,65.52,81.8639,5475.6712383
1564790400,66.255,65.34,70.531,25.98,195.061,12301.8156096
1564876800,65.34,65.804,66.606,63.531,70.1969,4573.8571905
1564963200,65.701,66.735,75,65.517,174.51429995,11691.27310621701
1565049600,66.735,62.4,72.413,42.902,271.3201,17472.8493774
1565136000,62.4,62.034,71.293,60,146.5474,9145.8564756
1565222400,62.034,61.67,68.275,56.051,239.9421,14987.3745093
1565308800,61.67,58.676,67.009,57.681,405.26412683,24212.97118825147
1565395200,58.677,55.965,64.126,52.51,115.0295,6729.7273303
1565481600,57.26,60.108,60.77,55.9,96.885,5751.7630265
1565568000,60.108,57.13,66,56.479,174.29650832,10140.60613412
1565654400,57.13,55.475,61.131,53.581,222.2194,12473.5850376
1565740800,55.475,50.671,56.469,50.5,284.6585,15249.9192302
1565827200,50.672,50.512,51.174,47.287,387.9127,19343.3696792
1565913600,50.512,49.189,51.244,46.553,214.1281,10659.0596017
1566000000,49.189,49.85,49.851,48.112,273.1719,13386.6073285
1566086400,49.85,52.829,58.046,49.102,241.82174451,12581.47786862746
1566172800,52.829,54.152,54.809,51.835,214.4198,11432.0624948
1566259200,54.152,52.166,56.989,51.174,220.63547845,11627.17904188705
1566345600,52.165,50.181,56.999,48.858,84.55654639,4308.79027218361
1566432000,49.851,50.833,52.083,48.022,4.9119,241.227207
1566518400,50.824,50.833,54.583,50.181,21.2212,1090.0560129
1566604800,51.174,50.306,51.174,49.166,4.4144,221.0642958
1566691200,50.181,50.102,50.918,49.618,4.9218,246.4615919
1566777600,50.181,51.122,53.367,50.181,26.0956,1355.5047645
1566864000,51.134,50.51,51.25,50,30.7699,1567.8303881
1566950400,50.122,46.428,50.714,46.428,51.1291,2445.2720244
1567036800,46.428,45.416,46.428,42.001,78.9668,3598.8987277
1567123200,44.287,44.53,45.416,43.5,18.9325688,830.1005586832
1567209600,44.503,44.573,48,42,28.98146545,1286.454614
1567296000,44.641,45.218,45.218,44.556,1.5768,70.4086446
1567382400,45,46.666,47.244,42.001,12.9215,592.3266546
1567468800,46.632,45.612,47.244,33.3,84.7687,3771.3601527
1567555200,45.416,44.554,47.244,42.935,62.04933702,2790.16816206206
1567641600,44.53,44.827,48.34,44.227,27.0213,1237.238078453
1567728000,45.218,45.88,47.88,40.23,52.1244,2348.095183
1567814400,45.753,46.7,47.74,41.237,64.96053122,2956.75240751262
1567900800,47.203,48.3,48.372,46.382,31.5018,1494.7901265
1567987200,48.267,46.872,48.267,45.446,27.7009,1278.5113684
1568073600,46.597,45.07,47.203,41.878,30.90896724,1415.65390963028
1568160000,45.216,44.24,45.558,44.184,0.1807,8.0852156
1568246400,44.225,44.517,45,43.233,78.0354,3462.2014216
1568332800,44.518,44.556,44.556,43.894,124.6557,5553.9851087
1568419200,44.887,46.541,46.541,44.706,5.5053,250.3105149
1568505600,45.88,46.578,48.47,42.318,13.91202543,645.9105059921
1568592000,46.872,48.527,62,46.872,42.65608,2147.2143098
1568678400,48.589,50.843,51.174,43.55,35.6785,1717.9253778
1568764800,51.123,52.676,53.453,50.3,15.7595,817.8573876
1568851200,52.417,50.864,60,48.17,107.63672199,5475.0186055814
1568937600,50.883,48.554,62.002,46.979,201.82429719,10143.9703074931
1569024000,48.677,47.57,49.189,47.1,3.8347,185.1841114
1569110400,47.57,45.588,53,45.518,11.8877,558.482179
1569196800,45.587,43.938,46.171,43.745,10.8106,484.755393
1569283200,43.894,35.798,47.754,30.5,161.9346,6436.1594039
1569369600,36.111,37.102,38.684,33.358,66.8186,2399.7968566
1569456000,37.639,34.175,37.995,33.4,115.2707,4203.2454477
1569542400,34.053,37.17,37.571,34.053,4.6649,167.3789454
1569628800,36.85,39.651,40.756,36.632,37.4822,1486.9902695
1569715200,40.201,37.15,40.201,35.01,123.3533,4569.0564969
1569801600,37.148,39.79,39.916,36.162,6.98081824,270.35465618744
1569888000,37.743,37.266,39.838,37.266,11.6837,447.9150914
1569974400,37.701,38.696,38.696,37.261,2.7603,105.5800163
1570060800,38.436,36.911,38.614,36.174,11.46093911,423.68625930573
1570147200,37,37.16,37.974,36.058,7.0815,262.1851399
1570233600,36.944,36.754,39.749,35.508,24.9528,912.2339445
1570320000,36.513,35.24,36.729,35.24,24.2231,869.6122102
1570406400,35.24,37.592,39.748,35.025,37.2376,1383.9017432
1570492800,37.719,36.513,39.5,30.5,78.3674,2853.1023781
1570579200,36.318,37.807,39.138,35.874,14.5683,545.9681577
1570665600,38.003,37.377,38.023,36.59,9.07028204,340.81669718916
1570752000,37.376,36.082,39.375,35.8,52.2241,1897.5800911
1570838400,35.887,36.513,36.944,35.854,19.4557,706.6992124
1570924800,36.729,36.75,37.376,36.26,14.9272,546.1310735
1571011200,36.75,36.967,37.16,36.26,21.5271,795.3983845
1571097600,37.052,36.55,38.9,31,167.83619824,6071.258551536
1571184000,36.535,35.471,37.058,35.434,11.1026,401.3461155
