time,open,close,high,low,volume,turnover
1775134800,233.717,232.967,233.717,231.716,306.1702,71176.1726434
1775136600,232.879,235.805,235.855,231.349,839.999,196940.5310688
1775138400,235.805,235.173,237.371,234.385,670.5061,158097.2279356
1775140200,235.182,236.872,239.747,235.154,1212.6768,288755.0059791
1775142000,236.825,235.181,236.825,234.325,387.2953989,91243.1476294004
1775143800,235.46,234.395,236.051,234.308,168.2257,39566.7341462
1775145600,234.232,233.869,234.807,232.601,253.8973,59309.8872833
1775147400,233.512,236.57,236.939,233.512,969.894,228183.7016365
1775149200,236.358,237.492,237.957,234.824,228.2542,53993.8873165
1775151000,237.54,235.018,237.599,234.585,367.8767,86715.01475
1775152800,235.372,236.292,236.503,235.186,117.7851,27755.1846051
1775154600,236.194,237.079,237.92,235.562,231.1227,54729.4223983
1775156400,237.243,238.02,238.448,237.048,170.8622,40610.1334456
1775158200,238.005,241.896,241.9,237.452,521.3523,124888.4720965
1775160000,241.801,243.729,244.026,240.763,445.1303,107980.5267071
1775161800,243.742,242.117,245.894,242.021,838.9438,205034.7787202
1775163600,242.387,241.061,242.73,239.194,692.0588,166727.4742463
1775165400,241.391,241.359,241.442,240.073,331.0192,79819.2732448
1775167200,241.442,241.466,242.769,241.016,364.38196163,88124.12313219967
1775169000,241.32,240.577,241.867,240.351,74.7269,18014.0436966
1775170800,240.537,241.347,242.643,240.258,158.0897,38141.7999396
1775172600,241.215,240.675,241.348,239.93,112.3262,27020.7475167
1775174400,241.047,237.953,241.313,237.851,185.7474,44419.269775
1775176200,238.071,238.498,239.312,237.979,279.694,66616.4984308
1775178000,237.996,238.952,239.448,237.315,266.7009,63532.655761
1775179800,239.092,236.764,239.362,236.55,168.0716,39988.8898939
1775181600,236.725,237.145,239.072,236.725,196.998,46918.8783519
1775183400,237.313,236.772,237.488,235.825,126.1223,29844.5533345
1775185200,236.839,236.894,237.153,236.5,119.2162,28225.1004364
1775187000,236.999,237.68,238.298,236.972,95.0232,22579.231136
1775188800,237.633,238.097,238.308,237.161,81.5533,19402.6469622
1775190600,238.135,238.038,238.969,237.709,301.226,71730.7485398
1775192400,238.004,235.771,238.008,235.012,128.9449,30466.360966
1775194200,235.723,236.028,237.827,235.723,299.3879,71009.3253486
1775196000,235.977,237.129,237.747,235.718,212.8902,50389.605017
1775197800,237.061,237.084,238.149,236.759,164.2438,39010.7228472
1775199600,236.925,236.952,237.508,236.698,432.8505,102599.495552
1775201400,237.014,236.998,238.73,236.962,184.5488,43878.5608673
1775203200,237.119,237.455,239.14,237.119,102.6141,24471.8519011
1775205000,237.703,237.586,238.111,236.717,114.7651,27222.0889311
1775206800,237.801,236.695,238.548,236.352,114.0498,27102.3090519
1775208600,236.815,237.159,237.522,236.688,63.461,15049.283966
1775210400,237.084,237.341,237.664,236.718,67.9457,16105.2683535
1775212200,237.062,238.271,238.57,236.844,57.5713,13694.1305101
1775214000,238.37,238.479,238.792,237.676,119.5501,28490.5476394
1775215800,238.278,238.351,238.534,237.79,57.6057,13720.7017188
1775217600,238.635,238.198,239.055,237.848,179.4416,42817.0580501
1775219400,238.235,234.614,239.993,234.429,1603.661,378523.4267071
1775221200,234.562,234.79,234.79,233.435,739.0745,172960.7103328
1775223000,234.735,235.711,235.711,234.391,690.9295,162505.1464334
1775224800,235.541,236.862,236.862,235.296,334.9291,79166.2419403
1775226600,236.703,237.032,237.455,235.356,215.7638,50995.9266031
1775228400,236.713,236.038,237.3,235.495,95.3668,22583.5793508
1775230200,235.979,235.006,236.207,234.212,176.7028,41522.0137005
1775232000,234.98,234.952,235.273,234.414,175.6467,41225.1169467
1775233800,235.032,235.618,235.806,234.802,204.0413,48041.3244508
1775235600,235.688,234.985,235.871,233.705,228.3949,53614.0659298
1775237400,234.988,234.801,235.759,234.757,126.2309,29698.5195074
1775239200,234.76,234.975,235.273,234.323,50.1759,11774.2729892
1775241000,234.642,233.838,234.909,233.576,35.0384,8204.8181128
1775242800,233.996,235.107,235.76,233.687,239.5988,56265.0831423
1775244600,235.12,234.392,235.189,234.392,67.3782,15832.0490212
1775246400,234.613,234.264,234.776,234.18,89.96583901255776965069,21097.05613916077849679858
1775248200,234.373,235.84,236.026,234.373,312.4758,73584.7598971
1775250000,235.918,236.33,236.752,235.844,125.7059,29679.4958244
